time,latitude,longitude,depth,mag
1927-05-22T22:32:49.000Z,37.645,102.489,15,7.7
1927-06-03T07:12:07.000Z,-6.766,130.363,35,7.5
1927-08-05T21:12:58.000Z,37.631,142.217,35,7
1927-08-10T11:36:12.000Z,-0.56,131.764,15,7.1
1927-10-24T15:59:55.000Z,57.776,-136.67,10,7.3
1927-11-21T23:12:32.000Z,-44.816,-72.926,15,7.2
1927-12-28T18:20:33.000Z,55.245,160.05,15,7.2
1928-01-06T19:31:59.000Z,0.34,35.86,15,7
1928-03-09T18:05:29.000Z,-2.649,88.436,15,7.7
1928-03-22T04:17:05.000Z,16.142,-96.107,15,7.6
1928-03-29T05:06:05.000Z,31.748,137.858,405,7
1928-04-14T09:00:00.000Z,42.329,25.717,10,7.1
1928-04-18T19:22:56.000Z,42.356,25.109,15,7.1
1928-05-27T09:50:29.000Z,39.916,142.819,35,7.2
1928-06-17T03:19:34.000Z,16.182,-96.585,20,7.9
1928-06-29T22:49:43.000Z,-15.651,170.959,15,7.1
1928-08-04T18:26:19.000Z,16.004,-98.209,20,7.2
1928-10-09T03:01:13.000Z,16.19,-97.502,25,7.5
1928-12-01T04:06:17.000Z,-35.155,-72.105,35,7.7
1928-12-02T04:20:25.000Z,-35.685,-72.812,30,7
1928-12-07T09:14:07.000Z,-4.191,133.836,15,7
1929-02-02T00:00:25.000Z,-1.179,-22.284,10,7.1
1929-02-22T20:41:51.000Z,10.684,-41.984,10,7.1
1929-03-07T01:34:42.000Z,50.852,-169.753,15,7.8
1929-03-09T10:50:30.000Z,-42.968,172.03,20,7
1929-05-01T15:37:36.000Z,38.117,57.736,10,7.2
1929-05-26T22:40:08.000Z,51,-130.713,15,7.3
1929-06-13T09:24:44.000Z,8.097,125.948,35,7.2
1929-06-16T22:47:30.000Z,-41.982,172.397,20,7.3
1929-06-27T12:47:13.000Z,-55.342,-29.434,15,8.1
1929-07-05T14:19:09.000Z,51.473,-178.152,35,7
1929-07-07T21:23:17.000Z,51.474,-177.771,35,7.3
1929-11-15T18:50:28.000Z,7.542,142.734,10,7.1
1929-11-17T03:43:18.000Z,6.484,126.301,35,7
